"SKU","Name","Variant","Category","Cost Price","Selling Price","Stock","Barcode","image_url"
"GTVL40X114","Gate Valve 40x1-1/4","PPR","Sanitary Fittings","0","0","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GTVL50X112","Gate Valve 50x1-1/2","PPR","Sanitary Fittings","0","0","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GTVL63X2","Gate Valve 63x2","PPR","Sanitary Fittings","0","0","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GVA25","Gate Valve ACCUFIT 25mm","PPR","Sanitary Fittings","382","530","896","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GVA32","Gate Valve ACCUFIT 32mm","PPR","Sanitary Fittings","518","720","1314","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GVM25","Gate Valve Master 25mm","PPR","Sanitary Fittings","270","450","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GVM32","Gate Valve Master 32mm","PPR","Sanitary Fittings","381","635","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"gw","Geezer Wire","General","Accessories","320","320","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"H","Hook Patti","General","Accessories","15","15","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"JC112","Jubilee Clamp 1-1/2","Hardware","Accessories","30","30","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"JC114","Jubilee Clamp 1-1/4","Hardware","Accessories","25","25","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"JC2","Jubilee Clamp 1/2","Hardware","Accessories","15","15","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"KC2","Killi Clamp 1/2","Hardware","Accessories","20","20","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"kc4","Killi Clamp 3/4","Hardware","Accessories","25","25","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MH12M","Manhole Cover 12x12","Manhole","Accessories","860","860","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MHMF9","Manhole Cover 9x9","Manhole","Accessories","650","650","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MHHi12P","Manhole Cover PVC 12x12","Manhole","Accessories","320","320","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MHHi6","Manhole Cover PVC 6x6","Manhole","Accessories","150","150","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MHA19","Manhole Cover PVC 9x9","Manhole","Accessories","200","200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
