"SKU","Name","Variant","Category","Cost Price","Selling Price","Stock","Barcode","image_url"
"TM322","Tee PPR Master 32x1/2","PPR","Sanitary Fittings","120","200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TM324","Tee PPR Master 32x3/4","PPR","Sanitary Fittings","126","210","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"T3","Tee PVC Equal 3in","PPR","Sanitary Fittings","99","165","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"T4","Tee PVC Equal 4in","PPR","Sanitary Fittings","294","490","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"TT","Teflon Tape","General","Accessories","30","30","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"TH","Tissue Holder Steel","Bathroom","Accessories","250","250","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"TSH","Toilet Shower Handle","Tap/Valve","Accessories","200","200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"UC25","U Clamp 25mm","Hardware","Accessories","6","6","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"UC2","U Clamp 2in","Hardware","Accessories","10","10","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"UC32","U Clamp 32mm","Hardware","Accessories","8","8","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"UC3","U Clamp 3in","Hardware","Accessories","15","15","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"UC4","U Clamp 4in","Hardware","Accessories","20","20","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"PBC2","UPVC Pipe B-Class 2in","UPVC","Pipes & Fittings","750","750","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PBC3","UPVC Pipe B-Class 3in","UPVC","Pipes & Fittings","2000","2000","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PBC4","UPVC Pipe B-Class 4in","UPVC","Pipes & Fittings","2700","2700","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PD2","UPVC Pipe Deluxe 2in","UPVC","Pipes & Fittings","750","750","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PD3","UPVC Pipe Deluxe 3in","UPVC","Pipes & Fittings","1500","1500","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PD4","UPVC Pipe Deluxe 4in","UPVC","Pipes & Fittings","2000","2000","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
